,,,,,Passing,,,Rushing,,Recieving,,,,,,,,
RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
1,Josh Allen,BUF,QB,17,3668,25,10,579,14,0,0,0,0,0,0,0,21.4,364.6
2,James Cook,BUF,RB,17,0,0,0,1621,12,33,291,2,0,0,0,0,17.8,302.2
3,Khalil Shakir,BUF,WR,16,0,0,0,5,0,72,719,4,0,0,0,0,10.4,166.4
4,Dalton Kincaid,BUF,TE,12,0,0,0,0,0,39,571,5,0,0,0,0,10.5,126.1
5,Dawson Knox,BUF,TE,17,0,0,0,0,0,36,417,4,0,0,0,0,6.1,103.7
6,Keon Coleman,BUF,WR,13,0,0,0,0,0,38,404,4,0,0,0,0,7.9,102.4
7,Matt Prater,BUF,K,15,0,0,0,0,0,0,0,0,0,0,0,0,6.8,102
8,Ty Johnson,BUF,RB,17,0,0,0,200,3,24,263,2,0,0,0,0,5.9,100.3
9,Cole Bishop,BUF,S,17,0,0,0,0,0,0,0,0,2,3,0,0,5.6,96
10,Greg Rousseau,BUF,DE,16,0,0,0,0,0,0,0,0,7,0,1,0,5.4,87.2
11,Joey Bosa,BUF,DE,15,0,0,0,0,0,0,0,0,5,0,5,0,5.3,79
12,Christian Benford,BUF,CB,14,0,0,0,0,0,0,0,0,2,2,0,2,5.5,76.9
13,Matt Milano,BUF,LB,12,0,0,0,0,0,0,0,0,4,0,1,0,6.4,76.2
14,Terrel Bernard,BUF,LB,12,0,0,0,0,0,0,0,0,0,1,0,2,6.3,75.5
15,Ray Davis,BUF,RB,17,0,0,0,275,0,10,86,2,0,0,0,0,3.4,58.1
16,Shaq Thompson,BUF,OLB,12,0,0,0,0,0,0,0,0,1,0,1,0,4.8,57.7
17,Michael Badgley,BUF,K,9,0,0,0,0,0,0,0,0,0,0,0,0,6.3,57
18,Jordan Poyer,BUF,S,10,0,0,0,0,0,0,0,0,1,1,0,0,5.4,54.4
19,Tre'Davious White,BUF,CB,16,0,0,0,0,0,0,0,0,0,1,0,0,3.3,53.5
20,Jackson Hawes,BUF,TE,17,0,0,0,0,0,16,187,3,0,0,0,0,3.1,52.7
21,A.J. Epenesa,BUF,DE,16,0,0,0,0,0,0,0,0,3,2,0,1,3.3,52.6
22,Joshua Palmer,BUF,WR,12,0,0,0,0,0,22,303,0,0,0,0,0,4.4,52.3
23,Brandin Cooks,BUF,WR,15,0,0,0,0,0,24,279,0,0,0,0,0,3.5,51.9
24,Taron Johnson,BUF,CB,13,0,0,0,0,0,0,0,0,0,0,0,0,3.9,50.5
25,Deone Walker,BUF,DT,17,0,0,0,0,0,0,0,0,1,0,0,1,2.9,49.3
26,Tyrell Shavers,BUF,WR,17,0,0,0,0,0,15,245,1,0,0,0,0,2.7,45.5
27,Dorian Williams,BUF,LB,16,0,0,0,0,0,0,0,0,0,0,0,1,2.7,43.5
28,DaQuan Jones,BUF,DT,12,0,0,0,0,0,0,0,0,3,1,1,0,3.5,42.3
29,Cam Lewis,BUF,DB,17,0,0,0,0,0,0,0,0,0,0,1,0,2.3,38.5
30,Ed Oliver,BUF,DT,3,0,0,0,0,0,0,0,0,3,0,1,0,11.9,35.7
31,Mitchell Trubisky,BUF,QB,4,313,4,0,6,0,0,0,0,0,0,0,0,7.8,31.1
32,Gabe Davis,BUF,WR,6,0,0,0,0,0,12,129,1,0,0,0,0,5.1,30.9
33,Elijah Moore,BUF,WR,9,0,0,0,24,1,9,112,0,0,0,0,0,3.2,28.6
34,Maxwell Hairston,BUF,CB,11,0,0,0,0,0,0,0,0,0,2,0,0,2.5,27
35,Taylor Rapp,BUF,S,6,0,0,0,0,0,0,0,0,0,0,0,0,3.6,21.5
36,Curtis Samuel,BUF,WR,6,0,0,0,0,0,7,81,1,0,0,0,0,3.5,21.1
37,Darnell Savage,BUF,S,12,0,0,0,0,0,0,0,0,0,0,1,0,1.6,19
38,Larry Ogunjobi,BUF,DT,10,0,0,0,0,0,0,0,0,0,0,0,0,1.9,18.5
39,T.J. Sanders,BUF,DT,12,0,0,0,0,0,0,0,0,1,0,0,0,1.5,17.7
40,Matthew Judon,BUF,OLB,14,0,0,0,0,0,0,0,0,0,0,0,0,1.2,16.5
41,Joe Andreessen,BUF,LB,17,0,0,0,0,0,0,0,0,0,0,0,0,0.9,15.5
42,Michael Hoecht,BUF,DE,2,0,0,0,0,0,0,0,0,2,0,1,0,7.3,14.6
43,Jordan Phillips,BUF,DT,11,0,0,0,0,0,0,0,0,1,0,0,0,1.2,13.7
44,Javon Solomon,BUF,DE,17,0,0,0,0,0,0,0,0,1,0,0,0,0.7,11.9
45,Phidarian Mathis,BUF,DT,6,0,0,0,0,0,0,0,0,0,0,0,0,1.4,8.5
46,Jordan Hancock,BUF,DB,13,0,0,0,0,0,0,0,0,0,0,0,0,0.6,8
47,Keleki Latu,BUF,TE,5,0,0,0,0,0,4,35,0,0,0,0,0,1.5,7.5
48,Dorian Strong,BUF,CB,4,0,0,0,0,0,0,0,0,0,0,0,0,1.8,7
49,Zion Logue,BUF,DT,3,0,0,0,0,0,0,0,0,1,0,0,0,1.7,5
50,Reggie Gilliam,BUF,FB,17,0,0,0,4,0,2,24,0,0,0,0,0,0.3,4.8
51,Keonta Jenkins,BUF,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3
52,Andre Jones Jr.,BUF,DE,3,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5
53,Sam Franklin Jr.,BUF,S,17,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1
54,Baylon Spector,BUF,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Dion Dawkins,BUF,OT,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Sedrick Van Pran-Granger,BUF,OL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Tylan Grable,BUF,OT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Reid Ferguson,BUF,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Landon Jackson,BUF,DE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Damar Hamlin,BUF,S,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Ryan Van Demark,BUF,OT,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Brandon Codrington,BUF,CB,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Dane Jackson,BUF,CB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Brad Robbins,BUF,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Mitch Wishnowsky,BUF,P,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,David Edwards,BUF,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Morgan Fox,BUF,DL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
