,,,,,Passing,,,Rushing,,Recieving,,,,,,,,
RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
1,Bryce Young,CAR,QB,16,3011,23,11,216,2,0,0,0,0,0,0,0,13.6,218
2,Rico Dowdle,CAR,RB,17,0,0,0,1076,6,39,297,1,0,0,0,0,12.7,216.3
3,Tetairoa McMillan,CAR,WR,17,0,0,0,0,0,70,1014,7,0,0,0,0,12.4,211.4
4,Chuba Hubbard,CAR,RB,15,0,0,0,511,1,30,223,3,0,0,0,0,8.4,125.4
5,Tre'von Moehrig,CAR,S,16,0,0,0,0,0,0,0,0,3,1,0,0,7.4,118.1
6,Christian Rozeboom,CAR,ILB,15,0,0,0,0,0,0,0,0,2,1,1,0,7.6,113.4
7,Mike Jackson,CAR,CB,17,0,0,0,0,0,0,0,0,0,4,1,0,6.2,105
8,Ryan Fitzgerald,CAR,K,17,0,0,0,0,0,0,0,0,0,0,0,0,6.1,103
9,Nick Scott,CAR,S,17,0,0,0,0,0,0,0,0,0,1,0,1,5.6,95
10,Derrick Brown,CAR,DE,17,0,0,0,0,0,0,0,0,5,0,1,0,5.4,92.2
11,Jalen Coker,CAR,WR,11,0,0,0,0,0,33,394,3,0,0,0,0,8.2,90.4
12,Xavier Legette,CAR,WR,15,0,0,0,0,0,35,363,3,0,0,0,0,6,89.3
13,A'Shawn Robinson,CAR,DE,17,0,0,0,0,0,0,0,0,3,0,0,1,4,67.8
14,Trevin Wallace,CAR,LB,12,0,0,0,0,0,0,0,0,2,0,0,0,5.6,66.7
15,Tommy Tremble,CAR,TE,17,0,0,0,0,0,27,249,2,0,0,0,0,3.8,63.9
16,Nic Scourton,CAR,OLB,17,0,0,0,0,0,0,0,0,4,0,1,0,3.7,63.6
17,Chau Smith-Wade,CAR,CB,16,0,0,0,0,0,0,0,0,0,1,0,0,3.8,60.5
18,Jaycee Horn,CAR,CB,16,0,0,0,0,0,0,0,0,0,5,0,0,3.5,56.5
19,D.J. Wonnum,CAR,OLB,16,0,0,0,0,0,0,0,0,3,1,0,1,3.4,54.8
20,Ja'Tavion Sanders,CAR,TE,13,0,0,0,0,0,29,190,1,0,0,0,0,4.2,54
21,Mitchell Evans,CAR,TE,17,0,0,0,1,0,19,171,2,0,0,0,0,2.8,48.2
22,Lathan Ransom,CAR,S,16,0,0,0,0,0,0,0,0,1,1,1,0,2.8,44.8
23,Hunter Renfrow,CAR,WR,6,0,0,0,0,0,15,89,2,0,0,0,0,6,35.9
24,Tershawn Wharton,CAR,DT,9,0,0,0,0,0,0,0,0,2,0,0,0,3.8,34.3
25,Princely Umanmielen,CAR,OLB,16,0,0,0,0,0,0,0,0,2,0,1,1,2,31.2
26,Brycen Tremayne,CAR,WR,16,0,0,0,0,0,14,160,0,0,0,0,0,1.9,30
27,Jimmy Horn Jr.,CAR,WR,13,0,0,0,69,0,11,108,0,0,0,0,0,2.2,28.7
28,Bobby Brown III,CAR,DT,17,0,0,0,0,0,0,0,0,1,0,0,0,1.7,28.3
29,Claudin Cherelus,CAR,LB,14,0,0,0,0,0,0,0,0,0,0,0,0,1.5,21.5
30,Trevis Gipson,CAR,LB,13,0,0,0,0,0,0,0,0,1,0,0,1,1.2,15.9
31,Corey Thornton,CAR,CB,12,0,0,0,0,0,0,0,0,0,0,1,0,1.3,15.5
32,Patrick Jones II,CAR,OLB,4,0,0,0,0,0,0,0,0,1,0,0,0,3.8,15.2
33,Krys Barnes,CAR,ILB,7,0,0,0,0,0,0,0,0,0,0,0,0,2.1,14.5
34,Trevor Etienne,CAR,RB,17,0,0,0,94,0,3,13,0,0,0,0,0,0.8,13.7
35,Andy Dalton,CAR,QB,5,318,1,1,-2,0,0,0,0,0,0,0,0,2.1,10.5
36,LaBryan Ray,CAR,DE,13,0,0,0,0,0,0,0,0,0,0,0,0,0.8,10.5
37,D'Anthony Bell,CAR,S,14,0,0,0,0,0,0,0,0,1,0,0,0,0.7,10.4
38,Demani Richardson,CAR,S,13,0,0,0,0,0,0,0,0,0,0,0,1,0.5,7
39,James Mitchell,CAR,TE,5,0,0,0,0,0,3,28,0,0,0,0,0,1.2,5.8
40,Bam Martin-Scott,CAR,LB,17,0,0,0,0,0,0,0,0,0,0,0,0,0.3,5.5
41,Cam Jackson,CAR,DT,9,0,0,0,0,0,0,0,0,0,0,0,0,0.6,5.5
42,Maema Njongmeta,CAR,LB,15,0,0,0,0,0,0,0,0,0,0,1,0,0.2,3
43,David Moore,CAR,WR,4,0,0,0,12,0,1,5,0,0,0,0,0,0.7,2.7
44,Boogie Basham,CAR,OLB,3,0,0,0,0,0,0,0,0,0,0,0,0,0.8,2.5
45,DJ Johnson,CAR,OLB,4,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2
46,Akayleb Evans,CAR,CB,16,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1
47,Jaden Crumedy,CAR,DT,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1
