,,,,,Passing,,,Rushing,,Recieving,,,,,,,,
RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
1,Caleb Williams,CHI,QB,17,3942,27,7,383,3,2,22,1,0,0,0,0,18.7,318.2
2,D'Andre Swift,CHI,RB,16,0,0,0,1087,9,34,299,1,0,0,0,0,14.3,228.6
3,DJ Moore,CHI,WR,17,2,1,0,79,1,50,682,6,0,0,0,0,10,170.2
4,Colston Loveland,CHI,TE,16,0,0,0,-2,0,58,713,6,0,0,0,0,10.3,165.1
5,Kyle Monangai,CHI,RB,17,0,0,0,783,5,18,164,0,0,0,0,0,8.6,146.7
6,Rome Odunze,CHI,WR,12,0,0,0,0,0,44,661,6,0,0,0,0,12.2,146.1
7,Luther Burden III,CHI,WR,15,0,0,0,37,0,47,652,2,0,0,0,0,8.5,127.9
8,Cairo Santos,CHI,K,15,0,0,0,0,0,0,0,0,0,0,0,0,8.1,122
9,Tremaine Edmunds,CHI,LB,13,0,0,0,0,0,0,0,0,1,4,0,1,9.2,119.5
10,Montez Sweat,CHI,DE,17,0,0,0,0,0,0,0,0,10,0,3,1,6.9,118
11,Nahshon Wright,CHI,CB,17,0,0,0,0,0,0,0,0,0,5,2,3,6.9,118
12,Kevin Byard III,CHI,S,17,0,0,0,0,0,0,0,0,0,7,0,0,6.5,110
13,Jaquan Brisker,CHI,S,17,0,0,0,0,0,0,0,0,1,1,0,0,5.3,90.4
14,C.J. Gardner-Johnson,CHI,S,13,0,0,0,0,0,0,0,0,3,2,1,0,6.8,88.4
15,Olamide Zaccheaus,CHI,WR,16,0,0,0,25,0,39,313,2,0,0,0,0,5.3,84.8
16,Cole Kmet,CHI,TE,16,0,0,0,0,0,30,347,2,0,0,0,0,4.9,78.7
17,T.J. Edwards,CHI,LB,10,0,0,0,0,0,0,0,0,1,1,0,0,7,70
18,Gervon Dexter Sr.,CHI,DT,17,0,0,0,0,0,0,0,0,6,0,0,2,4.1,70
19,Tyrique Stevenson,CHI,CB,13,0,0,0,0,0,0,0,0,0,1,2,2,5.2,68
20,Austin Booker,CHI,DE,10,0,0,0,0,0,0,0,0,5,0,1,0,6.2,62.1
21,Noah Sewell,CHI,LB,13,0,0,0,0,0,0,0,0,0,0,1,0,3.7,47.5
22,Grady Jarrett,CHI,DL,14,0,0,0,0,0,0,0,0,2,0,0,0,3,42.1
23,Andrew Billings,CHI,DL,17,0,0,0,0,0,0,0,0,1,0,0,0,2.3,38.5
24,D'Marco Jackson,CHI,LB,16,0,0,0,0,0,0,0,0,1,1,0,0,2.3,36.3
25,Jahdae Walker,CHI,WR,9,0,0,0,0,0,6,87,2,0,0,0,0,3,26.7
26,Dominique Robinson,CHI,DE,12,0,0,0,0,0,0,0,0,2,0,0,0,2.1,25.3
27,Dayo Odeyingbo,CHI,DE,8,0,0,0,0,0,0,0,0,1,0,0,0,3,24.2
28,Nick McCloud,CHI,CB,15,0,0,0,0,0,0,0,0,0,0,0,0,1.6,23.5
29,Jaylon Johnson,CHI,CB,7,0,0,0,0,0,0,0,0,0,1,0,0,3,21
30,Joe Tryon-Shoyinka,CHI,DE,16,0,0,0,0,0,0,0,0,0,0,0,0,0.9,15
31,Chris Williams,CHI,DT,14,0,0,0,0,0,0,0,0,1,0,0,0,1.1,15
32,Kyler Gordon,CHI,DB,3,0,0,0,0,0,0,0,0,1,0,0,1,4.5,13.4
33,Amen Ogbongbemiga,CHI,LB,8,0,0,0,0,0,0,0,0,0,0,0,0,1.4,11
34,Tanoh Kpassagnon,CHI,DE,4,0,0,0,0,0,0,0,0,1,0,0,0,2.5,10.1
