,,,,,Passing,,,Rushing,,Recieving,,,,,,,,
RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
1,Bo Nix,DEN,QB,17,3931,25,11,356,5,0,0,0,0,0,0,0,17.9,304.8
2,Courtland Sutton,DEN,WR,17,0,0,0,0,0,74,1017,7,0,0,0,0,12.9,219.7
3,RJ Harvey,DEN,RB,17,0,0,0,540,7,47,356,5,0,0,0,0,12.2,206.6
4,Troy Franklin,DEN,WR,17,0,0,0,12,0,65,709,6,0,0,0,0,10.4,177.1
5,Wil Lutz,DEN,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.7,131
6,Nik Bonitto,DEN,OLB,17,0,0,0,0,0,0,0,0,14,0,2,0,7.3,124.8
7,J.K. Dobbins,DEN,RB,10,0,0,0,772,4,11,37,0,0,0,0,0,11.6,115.9
8,Talanoa Hufanga,DEN,S,17,0,0,0,0,0,0,0,0,2,0,1,0,6.8,115.2
9,Alex Singleton,DEN,ILB,16,0,0,0,0,0,0,0,0,1,0,1,0,6.8,109.6
10,Evan Engram,DEN,TE,16,0,0,0,7,0,50,461,1,0,0,0,0,6.4,102.8
11,Zach Allen,DEN,DE,17,0,0,0,0,0,0,0,0,7,0,0,0,6,101.7
12,Riley Moss,DEN,CB,17,0,0,0,0,0,0,0,0,1,1,0,0,5.7,96.6
13,Ja'Quan McMillian,DEN,CB,17,0,0,0,0,0,0,0,0,4,2,2,0,5.6,94.5
14,Marvin Mims Jr.,DEN,WR,15,0,0,0,78,1,37,322,1,0,0,0,0,5.8,87
15,Jonathon Cooper,DEN,OLB,17,0,0,0,0,0,0,0,0,8,0,0,0,5.1,86.4
16,Brandon Jones,DEN,S,14,0,0,0,0,0,0,0,0,1,1,0,1,5.5,77.1
17,Pat Bryant,DEN,WR,15,0,0,0,0,0,31,378,1,0,0,0,0,5,74.8
18,Justin Strnad,DEN,ILB,16,0,0,0,0,0,0,0,0,5,1,0,0,4.2,67.5
19,John Franklin-Myers,DEN,DE,16,0,0,0,0,0,0,0,0,8,0,0,0,3.7,59
20,Pat Surtain II,DEN,CB,14,0,0,0,0,0,0,0,0,0,1,0,0,4.1,58
21,Dondrea Tillman,DEN,OLB,17,0,0,0,0,0,0,0,0,4,2,0,0,3,51.5
