,,,,,Passing,,,Rushing,,Recieving,,,,,,,,
RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
1,Josh Jacobs,GB,RB,15,0,0,0,929,13,36,282,1,0,0,0,0,15.8,237.1
2,Jordan Love,GB,QB,15,3381,23,6,199,0,0,0,0,0,0,0,0,15.7,235.1
3,Romeo Doubs,GB,WR,16,0,0,0,0,0,55,724,6,0,0,0,0,10.3,165.4
4,Christian Watson,GB,WR,10,0,0,0,3,0,35,611,6,0,0,0,0,13.2,132.4
5,Quay Walker,GB,LB,14,0,0,0,0,0,0,0,0,3,0,0,0,8.5,119.2
6,Tucker Kraft,GB,TE,8,0,0,0,3,0,32,489,6,0,0,0,0,14.7,117.2
7,Edgerrin Cooper,GB,LB,16,0,0,0,0,0,0,0,0,1,0,2,1,7,111.5
8,Brandon McManus,GB,K,14,0,0,0,0,0,0,0,0,0,0,0,0,7.9,110
9,Micah Parsons,GB,DE,14,0,0,0,0,0,0,0,0,13,0,2,0,7.7,108
10,Xavier McKinney,GB,S,16,0,0,0,0,0,0,0,0,1,2,1,0,6.2,99.5
11,Emanuel Wilson,GB,RB,17,0,0,0,496,3,15,99,0,0,0,0,0,5.6,94.5
12,Keisean Nixon,GB,CB,17,0,0,0,0,0,0,0,0,0,1,0,1,5.4,92
13,Evan Williams,GB,S,16,0,0,0,0,0,0,0,0,0,3,0,1,5.6,89
14,Rashan Gary,GB,DL,16,0,0,0,0,0,0,0,0,8,0,1,1,5.5,88.4
15,Dontayvion Wicks,GB,WR,14,0,0,0,6,0,30,332,2,0,0,0,0,5.4,75.8
16,Isaiah McDuffie,GB,LB,17,0,0,0,0,0,0,0,0,1,1,0,0,4.3,73.2
17,Javon Bullard,GB,S,17,0,0,0,0,0,0,0,0,0,0,0,1,4.2,72
18,Matthew Golden,GB,WR,14,0,0,0,49,0,29,361,0,0,0,0,0,5,70
19,Malik Willis,GB,QB,4,422,3,0,123,2,0,0,0,0,0,0,0,12.8,51.2
20,Luke Musgrave,GB,TE,17,0,0,0,0,0,24,252,0,0,0,0,0,2.9,49.2
21,Jayden Reed,GB,WR,7,0,0,0,28,0,19,207,1,0,0,0,0,6.9,48.5
22,Colby Wooden,GB,DL,17,0,0,0,0,0,0,0,0,0,0,0,0,2.8,48
23,Kingsley Enagbare,GB,DL,17,0,0,0,0,0,0,0,0,2,0,0,0,2.8,47.5
24,Devonte Wyatt,GB,DL,10,0,0,0,0,0,0,0,0,4,0,0,0,4.7,46.5
25,Chris Brooks,GB,RB,17,0,0,0,106,0,13,91,0,0,0,0,0,1.9,32.7
26,Carrington Valentine,GB,CB,17,0,0,0,0,0,0,0,0,0,0,0,0,1.8,31
27,Lukas Van Ness,GB,DL,9,0,0,0,0,0,0,0,0,2,0,0,0,3.3,29.4
28,Karl Brooks,GB,DL,16,0,0,0,0,0,0,0,0,1,0,0,0,1.6,26.1
29,Savion Williams,GB,WR,12,0,0,0,37,0,10,78,1,0,0,0,0,2.1,25.5
30,John FitzPatrick,GB,TE,15,0,0,0,0,0,12,72,1,0,0,0,0,1.7,25.2
31,Trevon Diggs,GB,CB,9,0,0,0,0,0,0,0,0,0,0,0,0,2.7,24.5
32,Bo Melton,GB,WR,16,0,0,0,35,0,4,107,1,0,0,0,0,1.5,24.2
33,Nate Hobbs,GB,CB,11,0,0,0,0,0,0,0,0,0,0,0,0,2.1,23.5
34,Barryn Sorrell,GB,DL,14,0,0,0,0,0,0,0,0,2,0,0,1,1.5,21.6
35,Lucas Havrisik,GB,K,3,0,0,0,0,0,0,0,0,0,0,0,0,7,21
36,Josh Whyle,GB,TE,8,0,0,0,0,0,5,36,1,0,0,0,0,1.8,14.6
37,Warren Brinson,GB,DL,11,0,0,0,0,0,0,0,0,1,0,0,0,1.3,13.8
38,Brenton Cox Jr.,GB,DL,4,0,0,0,0,0,0,0,0,1,0,1,0,3.5,13.8
39,Ty'Ron Hopper,GB,LB,17,0,0,0,0,0,0,0,0,0,0,1,0,0.7,12
40,Jamon Johnson,GB,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.5
41,Nazir Stackhouse,GB,DL,13,0,0,0,0,0,0,0,0,0,0,0,0,0.5,7
42,Jaylin Simpson,GB,DB,1,0,0,0,0,0,0,0,0,0,0,0,0,6.5,6.5
43,Kitan Oladapo,GB,S,17,0,0,0,0,0,0,0,0,0,0,0,0,0.3,5.5
44,Johnathan Baldwin,GB,S,1,0,0,0,0,0,0,0,0,0,0,0,0,5.5,5.5
45,Jonathan Ford,GB,DL,9,0,0,0,0,0,0,0,0,0,0,0,0,0.4,4
46,Collin Oliver,GB,DL,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4
47,Jakobie Keeney-James,GB,WR,1,0,0,0,0,0,2,15,0,0,0,0,0,3.5,3.5
48,Zayne Anderson,GB,S,14,0,0,0,0,0,0,0,0,0,0,0,1,0.2,3.5
49,Quinton Bohanna,GB,DT,6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3
50,Shemar Bartholomew,GB,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3
51,Kamal Hadden,GB,CB,10,0,0,0,0,0,0,0,0,0,0,0,0,0.3,3
52,Jordon Riley,GB,DL,4,0,0,0,0,0,0,0,0,0,0,0,0,0.6,2.5
53,Clayton Tune,GB,QB,2,42,0,1,23,0,0,0,0,0,0,0,0,1,2
54,Drake Dabney,GB,TE,2,0,0,0,0,0,1,3,0,0,0,0,0,0.7,1.3
55,Anthony Belton,GB,OT,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Arron Mosby,GB,DL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Daniel Whelan,GB,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Kristian Welch,GB,LB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Matt Orzech,GB,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Darian Kinnard,GB,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Donovan Jennings,GB,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
