,,,,,Passing,,,Rushing,,Recieving,,,,,,,,
RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
1,Nico Collins,HOU,WR,15,0,0,0,15,1,71,1117,6,0,0,0,0,15.1,226.2
2,C.J. Stroud,HOU,QB,14,3041,19,8,209,1,0,0,0,0,0,0,0,14.9,208.5
3,Ka'imi Fairbairn,HOU,K,15,0,0,0,0,0,0,0,0,0,0,0,0,11.9,178
4,Dalton Schultz,HOU,TE,17,0,0,0,0,0,82,777,3,0,0,0,0,10.5,177.7
5,Woody Marks,HOU,RB,16,0,0,0,703,3,24,208,3,0,0,0,0,9.4,151.1
6,Will Anderson Jr.,HOU,DE,17,0,0,0,0,0,0,0,0,12,0,3,2,8.6,145.6
7,Danielle Hunter,HOU,DE,17,0,0,0,0,0,0,0,0,15,0,3,1,7.9,134.7
8,Jayden Higgins,HOU,WR,17,0,0,0,0,0,41,525,6,0,0,0,0,7.6,129.5
9,Kamari Lassiter,HOU,CB,16,0,0,0,0,0,0,0,0,0,4,0,0,7.1,113.5
10,Azeez Al-Shaair,HOU,LB,16,0,0,0,0,0,0,0,0,0,2,1,1,6.2,99.5
11,Xavier Hutchinson,HOU,WR,17,0,0,0,22,0,35,428,3,0,0,0,0,5.8,98
12,Henry To'oTo'o,HOU,LB,17,0,0,0,0,0,0,0,0,3,0,0,1,5.5,94
13,Nick Chubb,HOU,RB,15,0,0,0,506,3,13,67,0,0,0,0,0,5.9,88.3
14,Jalen Pitre,HOU,S,14,0,0,0,0,0,0,0,0,0,4,0,0,6.1,85.5
15,Calen Bullock,HOU,S,17,0,0,0,0,0,0,0,0,0,4,1,0,4.6,79
16,Tommy Togiai,HOU,DT,15,0,0,0,0,0,0,0,0,2,0,0,1,4.8,71.3
17,Davis Mills,HOU,QB,6,915,5,1,60,1,0,0,0,0,0,0,0,11.4,68.6
18,Jaylin Noel,HOU,WR,17,0,0,0,12,0,26,292,2,0,0,0,0,4,68.4
19,Derek Stingley Jr.,HOU,CB,17,0,0,0,0,0,0,0,0,0,4,1,0,4,68
20,Christian Kirk,HOU,WR,13,0,0,0,0,0,28,239,1,0,0,0,0,4.5,57.9
21,Sheldon Rankins,HOU,DT,17,0,0,0,0,0,0,0,0,3,0,0,1,3.3,55.6
22,Derek Barnett,HOU,DE,17,0,0,0,0,0,0,0,0,5,0,0,0,2.9,49
23,E.J. Speed,HOU,LB,16,0,0,0,0,0,0,0,0,0,0,0,0,2.6,41
24,Myles Bryant,HOU,CB,11,0,0,0,0,0,0,0,0,0,0,0,0,2.7,30
25,Jawhar Jordan,HOU,RB,4,0,0,0,193,0,7,34,0,0,0,0,0,7.4,29.7
26,Denico Autry,HOU,DE,12,0,0,0,0,0,0,0,0,4,0,1,0,2.2,26.8
27,Dare Ogunbowale,HOU,RB,17,0,0,0,25,1,10,76,0,0,0,0,1,1.4,24.1
28,Dylan Horton,HOU,DE,16,0,0,0,0,0,0,0,0,1,0,1,0,1.5,23.7
29,Mario Edwards Jr.,HOU,DT,14,0,0,0,0,0,0,0,0,2,0,0,0,1.5,20.4
30,Tim Settle Jr.,HOU,DT,12,0,0,0,0,0,0,0,0,1,0,0,0,1.7,20
31,Cade Stover,HOU,TE,9,0,0,0,3,0,12,76,0,0,0,0,0,2.2,19.9
32,Matthew Wright,HOU,K,4,0,0,0,0,0,0,0,0,0,0,0,0,4.8,19
33,M.J. Stewart,HOU,S,9,0,0,0,0,0,0,0,0,0,0,1,0,2.1,19
34,Leki Fotu,HOU,DT,8,0,0,0,0,0,0,0,0,1,0,0,0,1.9,15.4
35,Tremon Smith,HOU,CB,17,0,0,0,0,0,0,0,0,0,0,0,0,0.9,14.5
36,Folorunso Fatukasi,HOU,DT,4,0,0,0,0,0,0,0,0,2,0,0,0,3.4,13.5
37,Jaylen Reed,HOU,S,7,0,0,0,0,0,0,0,0,0,0,0,1,1.9,13.5
38,Naquan Jones,HOU,DT,12,0,0,0,0,0,0,0,0,0,0,0,0,1.1,13.5
39,Damone Clark,HOU,LB,14,0,0,0,0,0,0,0,0,0,0,0,0,0.8,10.5
40,K'Von Wallace,HOU,CB,3,0,0,0,0,0,0,0,0,0,0,0,0,3.3,10
41,Braxton Berrios,HOU,WR,4,0,0,0,0,0,6,37,0,0,0,0,0,2.4,9.7
42,Ja'Marcus Ingram,HOU,CB,11,0,0,0,0,0,0,0,0,0,0,0,0,0.8,8.5
43,British Brooks,HOU,RB,15,0,0,0,78,0,0,0,0,0,0,0,0,0.5,7.8
44,Christian Harris,HOU,LB,15,0,0,0,0,0,0,0,0,0,0,0,0,0.5,7.5
45,Alijah Huzzie,HOU,CB,2,0,0,0,0,0,0,0,0,0,1,0,0,3.5,7
46,Justin Watson,HOU,WR,3,0,0,0,0,0,3,30,0,0,0,0,0,2,6
47,Jaylin Smith,HOU,CB,4,0,0,0,0,0,0,0,0,0,0,0,1,1.5,6
48,Kaevon Merriweather,HOU,S,13,0,0,0,0,0,0,0,0,0,0,0,0,0.4,5
49,Jared Wayne,HOU,WR,1,0,0,0,0,0,2,20,0,0,0,0,0,4,4
50,Jamal Hill,HOU,LB,12,0,0,0,0,0,0,0,0,0,0,1,0,0.2,3
51,Harrison Bryant,HOU,TE,12,0,0,0,0,0,2,7,0,0,0,0,0,0.2,2.7
52,Marlon Davidson,HOU,DT,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
53,Haggai Ndubuisi,HOU,DT,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
54,Damon Arnette,HOU,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Tommy Townsend,HOU,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Ajani Carter,HOU,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Trent Brown,HOU,OT,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Ed Ingram,HOU,G,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Austin Brinkman,HOU,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Blake Fisher,HOU,OT,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Jake Andrews,HOU,C,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Ameer Speed,HOU,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Jarrett Patterson,HOU,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Tytus Howard,HOU,OT,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Aireontae Ersery,HOU,OT,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Jake Hansen,HOU,LB,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Darrell Taylor,HOU,DE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Sidy Sow,HOU,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Juice Scruggs,HOU,C,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Jarrett Kingston,HOU,OT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Laken Tomlinson,HOU,G,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72,Jakob Johnson,HOU,FB,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
