,,,,,Passing,,,Rushing,,Recieving,,,,,,,,
RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
1,Trevor Lawrence,JAX,QB,17,4007,29,12,359,9,0,0,0,0,0,0,0,19.9,338.2
2,Travis Etienne Jr.,JAX,RB,17,0,0,0,1107,7,36,292,6,0,0,0,0,14.9,253.9
3,Jakobi Meyers,JAX,WR,16,0,0,0,13,0,75,835,3,0,0,0,0,11,175.8
4,Parker Washington,JAX,WR,16,0,0,0,0,0,58,847,5,0,0,0,0,10.8,172.7
5,Cam Little,JAX,K,17,0,0,0,0,0,0,0,0,0,0,0,0,9.2,156
6,Brian Thomas Jr.,JAX,WR,14,0,0,0,21,1,48,707,2,0,0,0,0,9.9,138.8
7,Foyesade Oluokun,JAX,LB,17,0,0,0,0,0,0,0,0,1,1,2,1,8.1,138.3
8,Brenton Strange,JAX,TE,12,0,0,0,0,0,46,540,3,0,0,0,0,9.8,118
9,Josh Hines-Allen,JAX,DE,17,0,0,0,0,0,0,0,0,8,0,0,0,6.2,106
10,Devin Lloyd,JAX,LB,15,0,0,0,0,0,0,0,0,2,5,0,1,6.9,103.5
11,Bhayshul Tuten,JAX,RB,15,0,0,0,307,5,10,79,2,0,0,0,0,5.9,88.6
12,Andrew Wingard,JAX,S,16,0,0,0,0,0,0,0,0,0,1,0,1,5.2,83.5
13,Antonio Johnson,JAX,S,17,0,0,0,0,0,0,0,0,2,5,0,0,4.8,80.8
14,Jarrian Jones,JAX,CB,17,0,0,0,0,0,0,0,0,0,3,0,1,3.8,64
15,Travis Hunter,JAX,WR,7,0,0,0,0,0,28,298,1,0,0,0,0,9.1,63.8
16,Travon Walker,JAX,DE,14,0,0,0,0,0,0,0,0,4,0,0,0,4.4,61.2
17,Eric Murray,JAX,S,12,0,0,0,0,0,0,0,0,1,1,1,0,5.1,61.1
18,Montaric Brown,JAX,CB,15,0,0,0,0,0,0,0,0,0,2,0,0,4.1,61
19,Greg Newsome II,JAX,CB,17,0,0,0,0,0,0,0,0,0,1,0,0,3.6,60.5
20,Dennis Gardeck,JAX,OLB,17,0,0,0,0,0,0,0,0,3,0,1,0,3.4,57.5
21,Jourdan Lewis,JAX,CB,12,0,0,0,0,0,0,0,0,0,2,0,1,4.6,55
22,Arik Armstead,JAX,DT,16,0,0,0,0,0,0,0,0,6,0,1,0,3.4,54.2
23,Tim Patrick,JAX,WR,16,0,0,0,0,0,15,187,3,0,0,0,0,3.2,51.7
24,Dyami Brown,JAX,WR,14,0,0,0,30,0,20,227,1,0,0,0,0,3.6,49.7
25,DaVon Hamilton,JAX,DT,17,0,0,0,0,0,0,0,0,1,0,0,0,2,34.7
26,Hunter Long,JAX,TE,9,0,0,0,0,0,12,85,2,0,0,0,0,3.6,32.5
27,Dawuane Smoot,JAX,DE,17,0,0,0,0,0,0,0,0,2,0,0,0,1.8,30.4
28,Ventrell Miller,JAX,LB,17,0,0,0,0,0,0,0,0,0,1,1,0,1.7,29.5
29,Juan Thornhill,JAX,S,10,0,0,0,0,0,0,0,0,0,0,0,0,2.9,28.5
30,LeQuint Allen Jr.,JAX,RB,17,0,0,0,94,0,10,54,0,0,0,1,1,1.5,24.8
31,Emmanuel Ogbah,JAX,DL,13,0,0,0,0,0,0,0,0,1,0,0,1,1.7,21.8
32,Johnny Mundt,JAX,TE,16,0,0,0,0,0,9,111,0,0,0,0,0,1.3,20.1
33,Christian Braswell,JAX,CB,17,0,0,0,0,0,0,0,0,0,0,0,0,1,17.5
34,Quintin Morris,JAX,TE,14,0,0,0,0,0,6,55,1,0,0,0,0,1.2,17.5
35,Danny Striggow,JAX,DL,10,0,0,0,0,0,0,0,0,1,0,0,1,1.7,16.7
36,Austin Johnson,JAX,DT,14,0,0,0,0,0,0,0,0,1,0,1,0,1.1,15
37,B.J. Green II,JAX,DE,14,0,0,0,0,0,0,0,0,2,0,0,0,1,14.5
38,Maason Smith,JAX,DT,13,0,0,0,0,0,0,0,0,0,0,0,0,0.8,11
39,Rayuan Lane III,JAX,S,17,0,0,0,0,0,0,0,0,0,0,0,1,0.6,10.5
40,Matt Dickerson,JAX,DE,8,0,0,0,0,0,0,0,0,0,0,0,0,1.2,10
41,Austin Trammell,JAX,WR,6,0,0,0,0,0,3,46,0,0,0,0,0,1.3,7.6
42,Jack Kiser,JAX,LB,14,0,0,0,0,0,0,0,0,0,0,0,0,0.5,7
43,Keith Taylor,JAX,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5
44,Branson Combs,JAX,LB,10,0,0,0,0,0,0,0,0,0,0,1,0,0.4,4
45,Tim Jones,JAX,WR,4,0,0,0,0,0,1,15,0,0,0,0,0,0.6,2.5
46,DeeJay Dallas,JAX,RB,6,0,0,0,21,0,0,0,0,0,0,0,0,0.4,2.1
47,Cam'Ron Silmon-Craig,JAX,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2
48,Yasir Abdullah,JAX,LB,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Wyatt Milum,JAX,OL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Walker Little,JAX,OL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Patrick Mekari,JAX,OL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Logan Cooke,JAX,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Ricky Lee,JAX,OT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Chuma Edoga,JAX,OL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Anton Harrison,JAX,OT,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Robert Hainsey,JAX,C,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Ezra Cleveland,JAX,G,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Jonah Monheim,JAX,OL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Ross Matiscik,JAX,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Jerome Carvin,JAX,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Cole Van Lanen,JAX,OT,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Nick Mullens,JAX,QB,5,19,0,0,-8,0,0,0,0,0,0,0,0,0,0
63,Darius Harris,NE,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Garrett Bradbury,NE,C,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
