,,,,,Passing,,,Rushing,,Recieving,,,,,,,,
RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
1,Justin Herbert,LAC,QB,16,3727,26,13,498,2,0,0,0,0,0,0,0,17.9,286.9
2,Keenan Allen,LAC,WR,17,0,0,0,0,0,81,777,4,0,0,0,0,10.7,182.7
3,Ladd McConkey,LAC,WR,16,0,0,0,0,0,66,789,6,0,0,0,0,11.3,180.9
4,Quentin Johnston,LAC,WR,14,0,0,0,7,0,51,735,8,0,0,0,0,12.2,171.2
5,Cameron Dicker,LAC,K,17,0,0,0,0,0,0,0,0,0,0,0,0,9.3,158
6,Omarion Hampton,LAC,RB,9,0,0,0,545,4,32,192,1,0,0,0,0,15.1,135.7
7,Oronde Gadsden,LAC,TE,15,0,0,0,0,0,49,664,3,0,0,0,0,8.8,131.4
8,Tuli Tuipulotu,LAC,OLB,16,0,0,0,0,0,0,0,0,13,0,2,1,7.9,127.1
9,Kimani Vidal,LAC,RB,13,0,0,0,643,3,16,136,1,0,0,0,0,9.1,117.9
10,Derwin James Jr.,LAC,S,16,0,0,0,0,0,0,0,0,2,3,1,0,6.9,110.3
11,Daiyan Henley,LAC,LB,16,0,0,0,0,0,0,0,0,4,2,0,0,6.8,108.7
12,Odafe Oweh,LAC,OLB,17,0,0,0,0,0,0,0,0,8,0,0,0,4.4,75.1
13,Khalil Mack,LAC,OLB,12,0,0,0,0,0,0,0,0,6,0,4,0,5.9,70.9
14,Tre' Harris,LAC,WR,17,0,0,0,10,0,30,324,1,0,0,0,0,4.1,69.4
15,Tony Jefferson,LAC,S,13,0,0,0,0,0,0,0,0,0,4,0,0,5.1,66
16,Justin Eboigbe,LAC,DL,17,0,0,0,0,0,0,0,0,6,0,0,0,3.5,59.8
17,Tarheeb Still,LAC,CB,15,0,0,0,0,0,0,0,0,0,0,0,0,3.9,59
18,Troy Dye,LAC,LB,16,0,0,0,0,0,0,0,0,1,0,1,1,3.6,57
19,Cam Hart,LAC,CB,16,0,0,0,0,0,0,0,0,0,1,0,0,3.5,56
20,Donte Jackson,LAC,CB,17,0,0,0,0,0,0,0,0,0,4,0,0,2.7,45.5
21,Denzel Perryman,LAC,LB,10,0,0,0,0,0,0,0,0,0,0,0,0,4.5,45.5
22,Elijah Molden,LAC,DB,12,0,0,0,0,0,0,0,0,0,1,0,0,3.7,44
23,Da'Shawn Hand,LAC,DL,13,0,0,0,0,0,0,0,0,2,1,0,0,3.2,42
24,Teair Tart,LAC,DL,17,0,0,0,0,0,0,0,0,0,0,1,1,2.5,42
25,Benjamin St-Juste,LAC,CB,16,0,0,0,0,0,0,0,0,0,1,0,0,2.1,34
26,Jamaree Caldwell,LAC,DT,17,0,0,0,0,0,0,0,0,0,0,1,0,1.9,32.5
27,RJ Mickens,LAC,S,12,0,0,0,0,0,0,0,0,0,2,0,0,2.3,27.5
28,Jaret Patterson,LAC,RB,6,0,0,0,159,1,3,8,0,0,0,0,0,4.3,25.7
29,Bud Dupree,LAC,OLB,16,0,0,0,0,0,0,0,0,2,0,0,0,1.5,24.3
30,Will Dissly,LAC,TE,9,0,0,0,0,0,11,97,0,0,0,0,0,2.3,20.7
31,Tyler Conklin,LAC,TE,13,0,0,0,2,0,7,101,0,0,0,0,0,1.3,17.3
32,Del'Shawn Phillips,LAC,LB,17,0,0,0,0,0,0,0,0,1,0,0,1,1,17
33,Keandre Lambert-Smith,LAC,WR,10,0,0,0,0,0,5,51,1,0,0,0,0,1.6,16.1
34,Otito Ogbonnia,LAC,DL,9,0,0,0,0,0,0,0,0,1,0,0,0,1.6,14.7
35,Trey Lance,LAC,QB,4,226,0,1,85,0,0,0,0,0,0,0,0,3.4,13.5
36,Najee Harris,LAC,RB,3,0,0,0,61,0,3,25,0,0,0,0,0,3.9,11.6
37,Scott Matlock,LAC,FB,16,0,0,0,0,0,4,12,1,0,0,0,0,0.7,11.2
38,Hassan Haskins,LAC,RB,12,0,0,0,47,0,4,13,0,0,0,0,0,0.8,10
39,Marcus Williams,LAC,S,3,0,0,0,0,0,0,0,0,0,0,0,0,2.8,8.5
40,Marlowe Wax,LAC,LB,17,0,0,0,0,0,0,0,0,0,0,0,0,0.4,7
41,Tucker Fisk,LAC,TE,10,0,0,0,0,0,2,19,0,0,0,0,0,0.4,3.9
42,Derius Davis,LAC,WR,11,0,0,0,5,0,2,10,0,0,0,0,0,0.3,3.5
43,Marcus Maye,LAC,S,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3
44,Kendall Williamson,LAC,S,17,0,0,0,0,0,0,0,0,0,0,0,0,0.2,3
45,Kyle Kennard,LAC,OLB,5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.5
46,Nikko Reed,LAC,CB,5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.5
47,Amar Johnson,LAC,RB,2,0,0,0,8,0,0,0,0,0,0,0,0,0.4,0.8
48,Deane Leonard,LAC,DB,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5
49,Foster Sarell,LAC,OT,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Jamaree Salyer,LAC,OL,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Zion Johnson,LAC,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Rick Lovato,LAC,LS,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
