,,,,,Passing,,,Rushing,,Recieving,,,,,,,,
RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
1,Puka Nacua,LAR,WR,16,0,0,0,105,1,129,1715,10,0,0,0,0,23.4,375
2,Matthew Stafford,LAR,QB,17,4707,46,8,1,0,0,0,0,0,0,0,0,20.6,350.4
3,Kyren Williams,LAR,RB,17,0,0,0,1252,10,36,281,3,0,0,0,0,15.5,263.3
4,Davante Adams,LAR,WR,14,0,0,0,0,0,60,789,14,0,0,0,0,15.9,222.9
5,Nate Landman,LAR,ILB,17,0,0,0,0,0,0,0,0,3,1,4,2,8.4,143.4
6,Byron Young,LAR,OLB,17,0,0,0,0,0,0,0,0,12,0,1,0,8.1,137.7
7,Colby Parkinson,LAR,TE,15,0,0,0,0,0,43,408,8,0,0,0,0,8.7,129.8
8,Kam Curl,LAR,S,17,0,0,0,0,0,0,0,0,2,2,1,0,7.2,122.7
9,Blake Corum,LAR,RB,17,0,0,0,746,6,8,36,0,0,0,0,0,7.2,122.2
10,Jared Verse,LAR,OLB,17,0,0,0,0,0,0,0,0,8,0,3,0,7.1,120.8
11,Kobie Turner,LAR,DE,17,0,0,0,0,0,0,0,0,7,1,0,1,5.2,88.1
12,Kamren Kinchens,LAR,S,17,0,0,0,0,0,0,0,0,0,2,0,2,5.1,87
13,Harrison Mevis,LAR,K,9,0,0,0,0,0,0,0,0,0,0,0,0,8.6,77
14,Quentin Lake,LAR,S,10,0,0,0,0,0,0,0,0,1,1,1,1,7.5,75.3
15,Tyler Higbee,LAR,TE,10,0,0,0,0,0,25,281,3,0,0,0,0,7.1,71.1
16,Emmanuel Forbes Jr.,LAR,CB,17,0,0,0,0,0,0,0,0,0,3,1,0,4,68.5
17,Davis Allen,LAR,TE,17,0,0,0,0,0,24,208,3,0,0,0,0,3.7,62.8
18,Omar Speights,LAR,ILB,16,0,0,0,0,0,0,0,0,0,0,0,0,3.8,61.5
19,Cobie Durant,LAR,CB,17,0,0,0,0,0,0,0,0,0,3,0,1,3.5,60
20,Jaylen McCollough,LAR,S,17,0,0,0,0,0,0,0,0,2,0,0,0,3.1,52.7
21,Terrance Ferguson,LAR,TE,14,0,0,0,0,0,11,231,3,0,0,0,0,3.7,52.1
22,Poona Ford,LAR,NT,17,0,0,0,0,0,0,0,0,2,0,0,0,2.9,48.6
23,Xavier Smith,LAR,WR,16,0,0,0,0,0,18,303,0,0,0,0,0,3,48.3
24,Braden Fiske,LAR,DE,17,0,0,0,0,0,0,0,0,3,0,0,1,2.7,46.1
25,Roger McCreary,LAR,CB,14,0,0,0,0,0,0,0,0,1,1,0,0,2.9,39.9
26,Tyler Davis,LAR,DE,17,0,0,0,0,0,0,0,0,1,0,0,1,2.3,39.7
27,Josaiah Stewart,LAR,OLB,17,0,0,0,0,0,0,0,0,3,0,1,0,2.3,39.1
28,Jordan Whittington,LAR,WR,17,0,0,0,12,0,18,171,0,0,0,0,0,2.1,36.3
29,Darious Williams,LAR,CB,12,0,0,0,0,0,0,0,0,0,1,0,0,2.8,33.5
30,Tutu Atwell,LAR,WR,10,0,0,0,0,0,6,192,1,0,0,0,0,3.1,31.2
31,Konata Mumpfield,LAR,WR,17,0,0,0,0,0,10,92,1,0,0,0,0,1.5,25.2
