,,,,,Passing,,,Rushing,,Recieving,,,,,,,,
RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
1,Drake Maye,NE,QB,17,4394,31,8,450,4,1,2,0,0,0,0,0,20.7,352
2,Stefon Diggs,NE,WR,17,0,0,0,0,0,85,1013,4,0,0,0,0,12.4,210.3
3,TreVeyon Henderson,NE,RB,17,0,0,0,911,9,35,221,1,0,0,0,0,12.1,206.2
4,Rhamondre Stevenson,NE,RB,14,0,0,0,603,7,32,345,2,0,0,0,0,12.8,178.8
5,Hunter Henry,NE,TE,17,0,0,0,0,0,60,768,7,0,0,0,0,10.5,178.8
6,Andy Borregales,NE,K,17,0,0,0,0,0,0,0,0,0,0,0,0,8.4,142
7,Kayshon Boutte,NE,WR,14,0,0,0,0,0,33,551,6,0,0,0,0,8.9,124.1
8,Mack Hollins,NE,WR,15,0,0,0,4,0,46,550,2,0,0,0,0,7.6,113.4
9,Marcus Jones,NE,CB,17,0,0,0,0,0,0,0,0,2,3,0,1,6.6,111.9
10,DeMario Douglas,NE,WR,17,0,0,0,21,0,31,447,3,0,0,0,0,5.6,95.8
11,Jaylinn Hawkins,NE,S,16,0,0,0,0,0,0,0,0,2,4,1,1,5.9,93.9
12,Robert Spillane,NE,LB,13,0,0,0,0,0,0,0,0,1,2,1,0,7.1,92.5
13,Harold Landry III,NE,LB,15,0,0,0,0,0,0,0,0,9,0,1,0,6.1,91.5
14,K'Lavon Chaisson,NE,LB,16,0,0,0,0,0,0,0,0,8,0,2,1,5.5,88.8
15,Jack Gibbens,NE,LB,17,0,0,0,0,0,0,0,0,1,0,1,0,4.4,75.6
16,Christian Gonzalez,NE,CB,14,0,0,0,0,0,0,0,0,0,0,0,0,5.2,72.5
17,Craig Woodson,NE,S,17,0,0,0,0,0,0,0,0,0,0,0,2,4.1,70.5
18,Carlton Davis III,NE,CB,17,0,0,0,0,0,0,0,0,0,0,0,0,4,68
19,Christian Elliss,NE,LB,15,0,0,0,0,0,0,0,0,0,0,0,0,4,60
20,Austin Hooper,NE,TE,16,0,0,0,0,0,21,263,2,0,0,0,0,3.7,59.3
21,Kyle Williams,NE,WR,17,0,0,0,3,0,10,209,3,0,0,0,0,2.9,49.2
22,Milton Williams,NE,DT,12,0,0,0,0,0,0,0,0,4,0,0,0,4,48.4
23,Christian Barmore,NE,DT,17,0,0,0,0,0,0,0,0,2,0,0,0,2.5,42.6
24,Anfernee Jennings,NE,LB,14,0,0,0,0,0,0,0,0,2,0,0,1,2.6,36.8
25,Elijah Ponder,NE,LB,15,0,0,0,0,0,0,0,0,4,0,0,2,2.4,36.6
26,Jahlani Tavai,NE,LB,12,0,0,0,0,0,0,0,0,0,0,1,0,2.8,33
27,Cory Durden,NE,DL,17,0,0,0,0,0,0,0,0,0,0,0,0,1.5,26
28,Khyiris Tonga,NE,DL,14,0,0,0,0,0,0,0,0,0,0,0,0,1.6,23
29,Marte Mapu,NE,LB,17,0,0,0,0,0,0,0,0,0,1,1,0,1.3,22.5
30,Dell Pettus,NE,S,17,0,0,0,0,0,0,0,0,1,0,1,0,1.3,22.2
31,Antonio Gibson,NE,RB,5,0,0,0,106,1,2,6,0,0,0,0,0,3.4,17.2
32,Efton Chism III,NE,WR,8,0,0,0,0,0,3,75,1,0,0,0,0,2.1,16.5
33,Joshua Farmer,NE,DT,13,0,0,0,0,0,0,0,0,0,0,0,1,1.2,16
34,Terrell Jennings,NE,RB,7,0,0,0,73,1,1,9,0,0,0,0,0,2.2,15.2
35,Leonard Taylor III,NE,DT,5,0,0,0,0,0,0,0,0,0,0,0,0,2.2,11
36,Alex Austin,NE,CB,12,0,0,0,0,0,0,0,0,0,0,0,0,0.8,10
37,Charles Woods,NE,CB,15,0,0,0,0,0,0,0,0,0,0,0,0,0.5,8
38,Eric Gregory,NE,DT,6,0,0,0,0,0,0,0,0,0,0,0,0,0.8,5
39,Brenden Schooler,NE,S,16,0,0,0,0,0,0,0,0,0,0,0,0,0.2,4
40,Jeremiah Pharms Jr.,NE,DT,3,0,0,0,0,0,0,0,0,0,0,0,0,1.3,4
41,Chad Muma,NE,LB,8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,3
42,Miles Battle,NE,CB,5,0,0,0,0,0,0,0,0,0,0,0,0,0.6,3
43,D'Ernest Johnson,NE,RB,8,0,0,0,25,0,0,0,0,0,0,0,0,0.3,2.5
44,Joshua Dobbs,NE,QB,4,65,0,0,-5,0,0,0,0,0,0,0,0,0.5,2.1
45,Jack Westover,NE,FB,17,0,0,0,0,0,1,0,0,0,0,0,0,0.1,1
46,Kobee Minor,NE,DB,4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1
47,DJ James,NE,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
48,Brenden Jaimes,NE,OL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,CJ Dippre,NE,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Caedan Wallace,NE,OT,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Vederian Lowe,NE,OT,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Thayer Munford Jr.,NE,OT,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Mike Onwenu,NE,OL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Jared Wilson,NE,OL,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Bryce Baringer,NE,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Will Campbell,NE,OT,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Richie Grant,NE,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Morgan Moses,NE,OT,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Marcus Bryant,NE,OT,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Julian Ashby,NE,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Bradyn Swinson,NE,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Ben Brown,NE,C,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Darius Harris,NE,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Garrett Bradbury,NE,C,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
