,,,,,Passing,,,Rushing,,Recieving,,,,,,,,
RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
1,Aaron Rodgers,PIT,QB,16,3322,24,7,61,1,1,-9,0,0,0,0,0,14.2,227.1
2,Kenneth Gainwell,PIT,RB,17,0,0,0,537,5,73,486,3,0,0,1,0,13,221.3
3,Jaylen Warren,PIT,RB,16,0,0,0,958,6,40,333,2,0,0,0,0,13.6,217.1
4,DK Metcalf,PIT,WR,15,0,0,0,12,1,59,850,6,0,0,0,0,12.5,187.2
5,Chris Boswell,PIT,K,17,0,0,0,0,0,0,0,0,0,0,0,0,8.3,141
6,T.J. Watt,PIT,LB,14,0,0,0,0,0,0,0,0,7,2,3,2,8.2,114.1
7,Pat Freiermuth,PIT,TE,17,0,0,0,0,0,41,486,4,0,0,0,0,6.7,113.6
8,Patrick Queen,PIT,ILB,17,0,0,0,0,0,0,0,0,1,0,1,1,6.5,110.8
9,Payton Wilson,PIT,LB,17,0,0,0,0,0,0,0,0,2,1,0,1,6.3,107.4
10,Alex Highsmith,PIT,LB,13,0,0,0,0,0,0,0,0,10,0,1,0,8.2,106.4
11,Nick Herbig,PIT,LB,15,0,0,0,0,0,0,0,0,8,1,3,1,6.7,100.4
12,Jalen Ramsey,PIT,CB,17,0,0,0,0,0,0,0,0,3,1,0,0,5.8,97.8
13,Cameron Heyward,PIT,DT,17,0,0,0,0,0,0,0,0,4,0,1,0,5.5,93.6
14,Calvin Austin III,PIT,WR,14,0,0,0,0,0,31,372,3,0,0,0,0,6.2,86.2
15,Jonnu Smith,PIT,TE,17,0,0,0,70,1,38,222,2,0,0,0,0,5,85.2
16,Keeanu Benton,PIT,DT,17,0,0,0,0,0,0,0,0,6,0,1,0,4.4,74.1
17,Darnell Washington,PIT,TE,16,0,0,0,0,0,31,364,1,0,0,0,0,4.6,73.4
18,Kyle Dugger,PIT,S,16,0,0,0,0,0,0,0,0,1,2,0,0,4.1,66
19,Brandin Echols,PIT,CB,16,0,0,0,0,0,0,0,0,1,2,1,1,4.1,65.3
20,Joey Porter Jr.,PIT,CB,14,0,0,0,0,0,0,0,0,1,1,0,0,4.5,62.5
21,James Pierre,PIT,CB,14,0,0,0,0,0,0,0,0,0,1,0,1,3.2,45.5
22,Chuck Clark,PIT,S,15,0,0,0,0,0,0,0,0,0,0,1,0,3,45
23,DeShon Elliott,PIT,S,5,0,0,0,0,0,0,0,0,1,1,1,0,8.6,42.8
24,Adam Thielen,PIT,WR,16,0,0,0,0,0,19,186,0,0,0,0,0,2.5,39.6
25,Darius Slay,PIT,CB,10,0,0,0,0,0,0,0,0,0,0,0,1,3.9,39
26,Roman Wilson,PIT,WR,13,0,0,0,0,0,12,166,2,0,0,0,0,3,38.6
27,Jack Sawyer,PIT,LB,17,0,0,0,0,0,0,0,0,1,2,0,0,2.2,37.4
28,Derrick Harmon,PIT,DT,12,0,0,0,0,0,0,0,0,3,0,0,1,3,35.9
29,Marquez Valdes-Scantling,PIT,WR,10,0,0,0,0,0,14,120,1,0,0,0,0,3.2,32
