,,,,,Passing,,,Rushing,,Recieving,,,,,,,,
RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
1,Christian McCaffrey,SF,RB,17,0,0,0,1202,10,102,924,7,0,0,0,0,24.5,416.6
2,Brock Purdy,SF,QB,9,2167,20,10,147,3,0,0,0,0,0,0,0,19.7,177.4
3,Jauan Jennings,SF,WR,15,0,0,0,0,0,55,643,9,0,0,0,0,11.6,173.3
4,George Kittle,SF,TE,11,0,0,0,-3,0,57,628,7,0,0,0,0,14.7,161.5
5,Mac Jones,SF,QB,11,2151,13,6,60,0,0,0,0,0,0,0,0,11.8,130
6,Eddy Piñeiro,SF,K,14,0,0,0,0,0,0,0,0,0,0,0,0,9.3,130
7,Dee Winters,SF,LB,17,0,0,0,0,0,0,0,0,0,1,0,0,6.4,109
8,Jake Tonges,SF,TE,17,0,0,0,0,0,34,293,5,0,0,0,1,5.5,93.3
9,Kendrick Bourne,SF,WR,16,0,0,0,0,0,37,551,0,0,0,0,0,5.8,92.1
10,Ricky Pearsall,SF,WR,9,0,0,0,-2,0,36,528,0,0,0,0,0,9.8,88.6
11,Matt Gay,SF,K,12,0,0,0,0,0,0,0,0,0,0,0,0,7.1,85
12,Upton Stout,SF,CB,16,0,0,0,0,0,0,0,0,1,0,1,0,5,79.2
13,Tatum Bethune,SF,LB,14,0,0,0,0,0,0,0,0,1,0,0,0,5.4,75.6
14,Malik Mustapha,SF,S,12,0,0,0,0,0,0,0,0,0,1,0,0,5.8,70
15,Ji'Ayir Brown,SF,S,17,0,0,0,0,0,0,0,0,0,2,1,0,4,67.5
16,Deommodore Lenoir,SF,DB,17,0,0,0,0,0,0,0,0,0,2,0,0,3.8,65
17,Brian Robinson Jr.,SF,RB,17,0,0,0,400,2,8,25,0,0,0,0,0,3.7,62.5
18,Bryce Huff,SF,DE,15,0,0,0,0,0,0,0,0,4,0,2,0,4.1,61.1
19,Demarcus Robinson,SF,WR,14,0,0,0,6,0,22,276,1,0,0,0,0,4.2,58.2
20,Renardo Green,SF,CB,14,0,0,0,0,0,0,0,0,0,0,0,0,4.1,58
