,,,,,Passing,,,Rushing,,Recieving,,,,,,,,
RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
1,Jaxon Smith-Njigba,SEA,WR,17,0,0,0,36,0,119,1793,10,0,0,0,0,21.2,359.9
2,Sam Darnold,SEA,QB,17,4048,25,14,95,0,0,0,0,0,0,1,0,13.8,235.4
3,Kenneth Walker III,SEA,RB,17,0,0,0,1027,5,31,282,0,0,0,0,0,11.3,191.9
4,Jason Myers,SEA,K,17,0,0,0,0,0,0,0,0,0,0,0,0,11.1,189
5,Zach Charbonnet,SEA,RB,16,0,0,0,730,12,20,144,0,0,0,0,0,11.3,181.4
6,AJ Barner,SEA,TE,17,0,0,0,14,1,52,519,6,0,0,0,0,8.7,147.3
7,Rashid Shaheed,SEA,WR,18,0,0,0,69,0,59,687,2,0,0,0,0,8,144.6
8,Ernest Jones IV,SEA,LB,15,0,0,0,0,0,0,0,0,1,5,0,0,8.5,127
9,DeMarcus Lawrence,SEA,OLB,16,0,0,0,0,0,0,0,0,6,0,3,3,7.3,116.7
10,Cooper Kupp,SEA,WR,16,0,0,1,0,0,47,593,2,0,0,0,0,7.3,116.3
11,Drake Thomas,SEA,LB,17,0,0,0,0,0,0,0,0,4,1,0,1,6.2,105.5
12,Nick Emmanwori,SEA,S,14,0,0,0,0,0,0,0,0,3,1,0,0,7.2,100.8
13,Leonard Williams,SEA,DT,17,0,0,0,0,0,0,0,0,7,0,0,0,5.8,98
14,Byron Murphy II,SEA,DT,17,0,0,0,0,0,0,0,0,7,0,0,0,4.7,80.5
15,Devon Witherspoon,SEA,CB,12,0,0,0,0,0,0,0,0,1,1,0,1,6.7,80.3
16,Ty Okada,SEA,FS,17,0,0,0,0,0,0,0,0,2,1,0,1,4.5,75.7
17,Coby Bryant,SEA,FS,15,0,0,0,0,0,0,0,0,0,4,1,0,5,75.5
